text,label
я не чувствовал себя униженным,0
"я могу перейти от чувства безнадежности к чертовски обнадеживающему просто от того, что рядом с кем-то, кто заботится и кто не спит",0
"я хватаюсь за минуту, чтобы опубликовать сообщение, я чувствую жадность, это неправильно",3
"я всегда испытываю ностальгию по камину, я буду знать, что он все еще находится на территории",2
я чувствую себя ворчливым,3
"в последнее время я чувствую себя немного обремененным, не знаю, почему это было",0
"Я принимал рекомендованную дозу или миллиграммы, или раз в несколько раз, и заснул намного быстрее, но при этом я чувствую себя так смешно.",5
"я чувствую себя таким же запутавшимся в жизни, как подросток, или таким же измученным, как годовалый мужчина",4
"Я работаю в Petronas уже много лет и чувствую, что Petronas зарекомендовала себя хорошо и принесла огромную прибыль",1
я тоже чувствую себя романтиком,2
"я чувствую, что мне нужно сделать так, чтобы страдания, которые я вижу, что-то значили",0
"я чувствую, что бег — это божественный опыт и что я могу рассчитывать на некую духовную встречу",1
"я думаю, что это самое легкое время года, чтобы чувствовать себя неудовлетворенным",3
"я чувствую упадок сил, я просто хочу пить",0
"я испытываю огромную симпатию к общей точке зрения, но как возможный протописатель, пытающийся найти время для написания в уголках жизни и без каких-либо признаков агента, не говоря уже о контракте на публикацию, это кажется немного драгоценным",1
меня не успокаивает тревога с обеих сторон,1
я действительно не чувствовал себя таким смущенным,0
большую часть времени я чувствую себя довольно жалко,0
"я начала сентиментально относиться к куклам, которые были у меня в детстве, и так начала собирать коллекцию винтажных кукол Барби шестидесятых годов.",0
"теперь я чувствую себя скомпрометированным и скептически отношусь к ценности каждой единицы работы, которую вложил",4
"я чувствую раздражение и отвержение, хотя никто ничего не делает и не говорит",3
"Я чувствую себя совершенно подавленным. У меня есть две стратегии, которые помогают мне чувствовать себя заземленным. Излить свое сердце в своем дневнике в форме письма к Богу, а затем закончить списком из пяти вещей, за которые я очень благодарен.",4
"у меня такое ощущение, что она была удивлена ​​и обрадована",1
